Latitude,Longitude,Altitude
-46.43774384712723,-135.67312844118612,-21.658610783813785
-46.37917877698933,-136.0258478884997,-21.658617866335426
-46.33037545289741,-136.39713136428782,-21.65862543804804
-46.24252596261094,-136.768415298761,-21.658632745544956
-46.15467623847978,-137.1211350852215,-21.65863968132063
-46.06682693245075,-137.51098315947533,-21.658647436732558
-45.96921563397268,-137.86370305494108,-21.65865434359216
-45.871604317812206,-138.21642294746266,-21.65866127086717
-45.754470112303196,-138.58770721074401,-21.658668483945974
-45.63733588479167,-138.9589914694242,-21.658675720650116
-45.520201635049496,-139.3302757244749,-21.65868298038049
-45.40306714970098,-139.68299583227468,-21.658689859166913
-45.27617130866102,-140.05428019102953,-21.658697095438015
-45.14927523181373,-140.40700040070956,-21.658703948607375
-45.01261800664132,-140.79684900932432,-21.658711573673862
-44.895483432196386,-141.14956909945298,-21.658718543226982
-44.76858728551579,-141.50228929761815,-21.658725462578857
-44.651453088848925,-141.89213767113844,-21.658733299341307
-44.53431865925179,-142.26342189553287,-21.65874074865701
-44.3976611000701,-142.6347063359853,-21.658748085544133
-44.270764860995975,-142.98742651621268,-21.6587550991095
-44.14386880710276,-143.35871083857478,-21.65876255147952
-44.00721096633801,-143.71143112097732,-21.658769541434232
-43.880314864293474,-144.08271543270038,-21.65877704084665
-43.74365697452824,-144.43543570622674,-21.658784078945068
-43.59723770619275,-144.80672022479993,-21.65879149130052
-43.4508182058957,-145.15944059389705,-21.658798507672167
-43.30439867880166,-145.512160958588,-21.658805547548937
-43.157979125969845,-145.86488131653556,-21.6588126090895
-43.001797984407744,-146.2176017762527,-21.658819628669384
-42.8456168146237,-146.5703222284806,-21.658826670372974
-42.69919718145524,-146.92304256908463,-21.658833801689894
-42.552777522119875,-147.27576290404826,-21.658840955084678
-42.42588096899587,-147.62848302385322,-21.658848263024346
-42.29898439301114,-147.9812031378414,-21.658855589868274
-42.181849362117404,-148.3339231438338,-21.658863005182653
-42.084237250162886,-148.66807879392272,-21.658870137568513
-41.99638649272107,-148.9836701925147,-21.658876919368538
-41.88901258109043,-149.29926179584683,-21.65888359024774
-41.8011614007068,-149.57772489976895,-21.65888953586311
-41.71331020796577,-149.85618800321413,-21.65889549599615
-41.62545900289449,-150.13465110192038,-21.65890146670999
-41.53760758970918,-150.39455005621983,-21.658907015337824
-41.469279312271624,-150.65444880212203,-21.658912702306218
-41.38142787728478,-150.91434775120024,-21.65891827275346
-41.2935764307897,-151.17424669754988,-21.658923855824312
-41.21548635403274,-151.41558139620435,-21.658929073929897
-41.127634691779264,-151.6569161955976,-21.658934237580887
-41.03978366025824,-151.89825337315034,-21.55893941475734
-40.961693359879426,-152.12102392478263,-21.55894421895426
-40.873841472378174,-152.3437945756682,-21.558948970706616
-40.79575115345875,-152.56656512558465,-21.55895379456158
-40.698137475826975,-152.7707717284471,-21.55895805604674
-40.61028517659163,-152.95641408457593,-21.558961944314895
-40.52243305953154,-153.16062058289856,-21.558966284480768
-40.41505758231604,-153.3462631339255,-21.558970063519986
-40.327205446697235,-153.55046962897453,-21.55897441883377
-40.21006817871207,-153.7175481307229,-21.558977704003368
-40.10269248304401,-153.88462652875634,-21.558981055309708
-39.98555519568716,-154.05170502380005,-21.55898435227214
-39.85865631564569,-154.21878361264555,-21.558987594680687
-39.73175723802068,-154.3672980522966,-21.558990397166816
-39.604858150678155,-154.51581248892418,-21.55899320261129
-39.468197284383756,-154.64576287501976,-21.558995506205996
-39.3217746395666,-154.75714920703646,-21.558997303573143
-39.18511375520593,-154.8870995817435,-21.55899961747214
-39.02892950910011,-154.99848600149798,-21.55900136621259
-38.87274507123725,-155.09130826889995,-21.559002669318964
-38.706799222883106,-155.20269477141136,-21.55900437031555
-38.54085300252312,-155.27695297634548,-21.559005174555054
-38.35538420473141,-155.35121379822314,-21.45900586478492
-38.16015321147584,-155.4254722738168,-21.459006505423666
-37.97468343893523,-155.46260235625908,-21.459006304952013
-37.77945225500703,-155.5182966662171,-21.459006505958563
-37.584220711767074,-155.5368626786515,-21.459005809080836
-37.37922758021496,-155.55542877182543,-21.459005059138377
-37.19375726891195,-155.53686638165522,-21.45900352588476
-36.97900220165326,-155.51830425582796,-21.459001826360314
-36.78377030767074,-155.4997419367322,-21.45900024818954
-36.57877665781231,-155.4626155551142,-21.458998166808897
-36.38354459774145,-155.42548907003737,-21.458996149218876
-36.188312541157686,-155.38836257787742,-21.458994137090286
-35.99308031870658,-155.33267192931334,-21.458991679637542
-35.797847933301355,-155.25841712398804,-21.458988775986647
-35.602615387800995,-155.16559816713584,-21.458985428380878
-35.407383017570176,-155.0913433448429,-21.45898253956838
-35.21215048958166,-154.99852436826404,-21.458979207408042
-35.00715567347706,-154.88713889438088,-21.558975378106986
-34.81192316795059,-154.79431989996462,-21.55897205913307
-34.60692892467398,-154.6829368340347,-21.558968245775638
-34.41169627644659,-154.5715536731475,-21.558964493155145
-34.2164634777763,-154.4416063572417,-21.558960298732693
-34.0114692701554,-154.33022326317385,-21.55895651257164
-33.8064750733907,-154.21884015618772,-21.558952731093356
-33.60148020507827,-154.08889047947764,-21.658948511350445
-33.396486035441484,-153.9775073530008,-21.658944749548603
-33.18173029603836,-153.8661242990785,-21.65894094519936
-32.95721283252787,-153.7361771699921,-21.65893665199978
-32.74245681051141,-153.58766580103483,-21.658931972598737
-32.5179393773245,-153.45771864847038,-21.658927700439968
-32.283660226412515,-153.3092074151654,-21.658922945057398
-32.04938109347959,-153.160696169364,-21.6589181995681
-31.80534054804173,-153.0307491329302,-21.65891386346442
-31.551537797648564,-152.88223561982497,-21.758909047039552
-31.307497289546646,-152.75228855310257,-21.758904736175957
-31.053695073536687,-152.60377740623306,-21.75889994609912
-30.790131153252496,-152.43670217417196,-21.758894678825314
-30.52656739896754,-152.28819106872476,-21.758889868678985
-30.272764957040888,-152.10255158139455,-21.758884235639215
-30.009201103357015,-151.93547629594877,-21.758879013316673
-29.735875696058958,-151.76840106822934,-21.758873759777728
-29.472311887545402,-151.6013257467172,-21.758868567351804
-29.198986525892014,-151.4342504810794,-21.758863347039664
-28.925661187595065,-151.2671751955811,-21.75885814334962
-28.652335737245153,-151.08153574749173,-21.75885251565608
-28.369248872324288,-150.91446049481468,-21.758847299387973
-28.0764004579336,-150.74738529119503,-21.758842058342708
-27.793313075528683,-150.56174349444427,-21.85883643832426
-27.51022628883208,-150.3946681820884,-21.858831275264734
-27.227139269566987,-150.19046456117925,-21.858825253945305
-26.924529263250427,-150.0048251978684,-21.85881960680281
-26.631680856267014,-149.819185744496,-21.858814018472778
-26.338832352973686,-149.61498212647072,-21.858808016163565
-26.036222309935173,-149.4107785499777,-21.858801992622915
-25.7433738678467,-149.20657488681803,-21.858796027989733
-25.44076388708127,-149.00237126583195,-21.8587900461062
-25.138153819028094,-148.7796034774467,-21.85878365303089
-24.84530547037639,-148.57539974548502,-21.85877775051386
-24.542695584316938,-148.37119605474055,-21.858771831336135
-24.240085350803806,-148.1669900192086,-21.958765931668516
-23.937475532204807,-147.96278628542305,-21.958760054346754
-23.64462731113206,-147.7585824689524,-21.958754232383463
-23.342017554833284,-147.5543786893445,-21.95874839753843
-23.0394078296801,-147.35017488533623,-21.95874258102056
-22.74655980772001,-147.16453514611027,-21.95873724990713
-22.463473271419925,-146.96033118599576,-21.95873154167652
-22.19014843282507,-146.77469129372804,-21.95872631586674
-21.91682372304347,-146.6076155271976,-21.95872153350132
-21.653260497424547,-146.42197554219547,-21.958716373622664
-21.39945895890085,-146.25489963316767,-21.95871168787118
-21.145657442428195,-146.0878237060305,-21.958707015473834
-20.901617607800063,-145.9393118565173,-21.95870281509238
-20.66733925512574,-145.77223579617126,-21.95869823577012
-20.442822482748223,-145.60515967021402,-21.958693700184753
-20.20854426428264,-145.45664772588856,-21.95868956920384
-19.993789183492385,-145.3081356696328,-21.95868551051923
-19.76927255952218,-145.15962364873945,-21.958681432219144
-19.554517297471897,-145.02967344058632,-22.05867781915466
-19.339762570809853,-144.88116361883382,-21.958673791452966
-19.13476881347073,-144.73264919961454,-22.058669805062124
-18.93953702108246,-144.6027011365747,-22.058666279190717
-18.744305241614494,-144.47275306299994,-22.058662759814915
-18.558835032646314,-144.3428049339063,-22.058659276859153
-18.37336483577642,-144.2128567966665,-22.0586558054909
-18.17813309464024,-144.0829086955228,-22.05865231077241
-17.982901647517036,-143.9529628400793,-21.95864882809765
-17.787669844982798,-143.80445057383903,-21.95864493280301
-17.60219969541064,-143.6745023978594,-21.958641491885658
-17.397206447671763,-143.54455429961024,-21.958638007417825
-17.20197468748699,-143.3960420038241,-21.958634140187677
-16.996981467497058,-143.2660938848043,-21.95863067290309
-16.79198818153561,-143.11758161045987,-21.958626799017168
-16.586994989138883,-142.9876334685852,-21.95862335129503
-16.38200173302666,-142.83912117408113,-21.95861949749802
-16.16724701509042,-142.70917305174453,-21.95861604319971
-15.952492161240645,-142.5420966305809,-21.95861177059769
-15.737737399722555,-142.3935843396046,-21.958607922284386
-15.50345954984381,-142.2450721163121,-21.958604038803365
-15.278943196697078,-142.07799569628702,-21.95859977534645
-15.034903760320852,-141.91091933697317,-21.958595479926878
-14.790864344498313,-141.7438429624555,-21.95859119825814
-14.53706339848851,-141.576766610687,-21.958586908033347
-14.263739306319536,-141.39112616736156,-21.95858217517177
-13.990415239790181,-141.20548570700788,-21.958577462656557
-13.707329649482972,-141.01984525956505,-21.958572743274942
-13.424244296020465,-140.8342069989704,-21.858568043776764
-13.131397144462468,-140.63000239683095,-21.858562932724325
-12.828788535396733,-140.4443619483049,-21.858558230422425
-12.526179895890436,-140.24015733311396,-21.85855313945263
-12.22357128796789,-140.03595269442053,-21.858548070632864
-11.91120122029966,-139.85031220527028,-21.85854340979086
-11.598831128473634,-139.64610754875278,-21.85853836290228
-11.276699522310054,-139.44190289407837,-21.85853332144204
-10.954568001818679,-139.25626235814372,-21.858528709140593
-10.64219800589354,-139.05205762386188,-21.858523728799995
-10.320066498343124,-138.84785289168616,-21.858518754819713
-9.997935023909989,-138.6436481313299,-21.85851380368554
-9.675803582950842,-138.43944334621258,-21.858508874383304
-9.3634337182637,-138.23523851094237,-21.858503983663176
-9.04130230134082,-138.01246952926678,-21.858498698348285
-8.728932502971588,-137.80826464424214,-21.858493850341077
-8.406801196236067,-137.6040597547234,-21.85848901276369
-8.084669922782624,-137.39985483964296,-21.8584841975119
-7.762538645946059,-137.1770857525459,-21.858479005644938
-7.4404074405902705,-136.97288078313028,-21.85847423811869
-7.118276235130395,-136.7501116448061,-21.858469093155037
-6.805906636681662,-136.5459066064168,-21.85846438128604
-6.483775502223651,-136.32313741433234,-21.85845928369349
-6.1714060376096,-136.1003703143483,-21.75845422063898
-5.849274970208157,-135.87760106791333,-21.758449170781475
-5.536905475582543,-135.65483177885162,-21.75844415377147
-5.224536016266882,-135.4320624678951,-21.758439159014337
-4.921928127746327,-135.20929312049017,-21.758434195483538
-4.5997972251609625,-135.00508791574785,-21.75842963213759
-4.287427870284965,-134.78231852853108,-21.758424706283456
-3.965297017223584,-134.5595491283292,-21.758419797188644
-3.652927733085143,-134.3367796910738,-21.758414918599158
-3.340558500510973,-134.13257437345442,-21.758410453298083
-3.0184277535785213,-133.9098048958649,-21.758405613801386
-2.6962970437357896,-133.68703539082225,-21.75840079998472
-2.383927911847927,-133.48282999666426,-21.758396402664147
-2.0715588028414516,-133.26006043434785,-21.758391637290792
-1.7494281993286407,-133.03729085227513,-21.75838689285176
-1.4370591610959096,-132.81452123814773,-21.758382175835834
-1.12469015838316,-132.59175160204,-21.758377481125542
-0.8123211910618053,-132.36898193858323,-21.758372808748724
-0.49995225928758913,-132.14621225181685,-21.758368159497117
-0.18758336226562733,-131.9234425398675,-21.75836353452579
0.12478549898108326,-131.70067280265923,-21.75835893169336
0.43715432529263154,-131.47790304151175,-21.758354352374326
0.7495231241134519,-131.2365711657804,-21.65834941405923
1.0618918881259987,-131.032365496411,-21.658345260828796
1.3840221377972597,-130.80959565416865,-21.658340753393666
1.6963908273829489,-130.5868257889683,-21.65833626667873
2.0185210046002524,-130.3640558932531,-21.658331806437488
2.3308896224344338,-130.1412859783812,-21.658327364572592
2.6530197276540335,-129.91851603211416,-21.658322951912446
2.9653882747054325,-129.69574606401062,-21.658318557092706
3.2777567862097,-129.47297607259748,-21.658314185398197
3.5901252625778426,-129.2502060595578,-21.658309840167632
3.9122552237658113,-129.02743600797075,-21.658305519798724
4.224623628748226,-128.80466594130573,-21.65830121857369
4.536991998795507,-128.58189585070147,-21.65829694086208
4.849360333277545,-128.35912573541265,-21.65829268602935
5.161728608423772,-128.1177914483559,-21.658288080687107
5.474096870944287,-127.89502128379877,-21.658283871549926
5.786465098073421,-127.67225109335902,-21.658279687124427
6.098833356743199,-127.43091872990155,-21.55827515347302
6.723569609871944,-126.96681407128543,-21.55826653118021
7.035937697818191,-126.7440437793568,-21.558262438872028
7.348305715762422,-126.50270931644599,-21.55825800213458
7.660673731710965,-126.27993897298792,-21.558253955821996
7.963280161818737,-126.03860447889801,-21.558249554720803
8.265886593747524,-125.81583410855046,-21.55824554358781
8.548970008394384,-125.61162790302737,-21.55824189381029
8.812530370983907,-125.40742171935912,-21.558238234934016
9.076090748872438,-125.22177966472486,-21.558234958386755
9.329889591838722,-125.03613761485828,-21.55823168327631
9.573926900759076,-124.85049557236272,-21.558228409091683
9.81796418663253,-124.66485351643252,-21.558225150849438
10.0522399879465,-124.49777561385211,-21.558222254472952
10.286515721356807,-124.31213355125048,-21.55821900690892
10.520791531332229,-124.16361976836035,-21.55821649752847
10.745305765399635,-123.99654185157704,-21.558213621944567
10.96005847263445,-123.8294639481289,-21.55821074251495
11.174811161899235,-123.66238603458268,-21.558207875876377
11.389563832965884,-123.49530810752262,-21.558205018664268
11.594555034703632,-123.34679434431058,-21.55820251465667
11.799546165003449,-123.1797164238395,-21.558199663229054
11.994775772578826,-123.01263852360024,-21.558196802609274
12.190005420848529,-122.8641247574597,-21.558194311348572
12.37547349150092,-122.69704686893951,-21.558191454444284
12.560941546922692,-122.5299689694323,-21.558188605408503
12.736648142539245,-122.38145524018947,-21.55818610343281
12.922116167335027,-122.21437732377089,-21.558183273577214
13.0978226734331,-122.04729943244811,-21.55818043481281
13.263767662312723,-121.88022156530782,-21.55817758332622
13.42971270034208,-121.7317078368799,-21.558175095071668
13.585896159593489,-121.56462999141073,-21.558172240070242
13.751841107519532,-121.39755210237293,-21.558169413026448
13.908024540363598,-121.23047424307808,-21.558166576396758
14.064207959912551,-121.06339637627035,-21.55816374658761
14.21062986587686,-120.89631853917842,-21.558160902832796
14.347290259708636,-120.7292407315149,-21.55815804530952
14.483950574047086,-120.54359877332426,-21.558154843874313
14.601087946206512,-120.37652102957755,-21.558151956788365
14.71822517053792,-120.1723149896618,-21.558148376678197
14.825600954048063,-119.98667312876385,-21.558145131666173
14.923215229890545,-119.80103130223793,-21.558141870931678
15.011067929292544,-119.59682536387365,-21.558138246807047
15.079397626627191,-119.39261949945954,-21.558134583651018
15.147727388452687,-119.20697777800117,-21.558131275640015
15.216057000605154,-118.98420776572974,-21.558127280055388
15.264863686915554,-118.7800019704035,-21.558123592901275
15.294147307435495,-118.55723210726818,-21.55811952068013
15.333192418346488,-118.33446220595368,-21.55811547965834
15.342953117626895,-118.13025656320318,-21.55811171921752
15.352713983296816,-117.90748862104181,-21.458107622928907
15.352713043474722,-117.66615472132439,-21.45810316826924
15.323427700770832,-117.44338508021883,-21.45809899416104
15.284380870234337,-117.22061547829514,-21.458094806835355
15.225811062625784,-116.99784594941744,-21.458090578847504
15.16724126162051,-116.77507642093826,-21.4580863582728
15.09890997774188,-116.55230692872848,-21.458082124088122
15.020817447551988,-116.32953929480509,-21.35807787713474
14.923201712806318,-116.10676990769865,-21.358073591274973
14.825585989194067,-115.88400051893046,-21.358069315192814
